SYMBOL,SERIES,LAST
AURUM,EQ,106.9
AURUMPP,E1,54
AUSOMENT,EQ,59.25
AUTOAXLES,EQ,2465
AUTOBEES,EQ,127.48
AUTOIND,EQ,73.7
AVADHSUGAR,EQ,466.25
AVANTIFEED,EQ,357.45
AVONMORE,EQ,66.85
AVROIND,EQ,122.7
AVTNPL,EQ,81.5
AWHCL,EQ,256.7
AWL,EQ,410
AXISBANK,EQ,845.5
AXISBNKETF,EQ,412.18
AXISBPSETF,EQ,10.86
AXISCADES,EQ,306.45
AXISCETF,EQ,73.48
AXISGOLD,EQ,51.45
AXISHCETF,EQ,78.3
AXISILVER,EQ,75.51
AXISNIFTY,EQ,187.62
AXISTECETF,EQ,300.93
AXITA,EQ,64.3
AXSENSEX,EQ,59.3
AYMSYNTEX,EQ,68.1
BAFNAPH,BE,90
BAGFILMS,EQ,4.55
BAHETI,SM,104
BAIDFIN,EQ,36
BAJAJ-AUTO,EQ,4060.75
BAJAJCON,EQ,151.6
BAJAJELEC,EQ,1053
BAJAJFINSV,EQ,1306
BAJAJHCARE,EQ,317.25
BAJAJHIND,EQ,13.25
BAJAJHLDNG,EQ,5917
BAJFINANCE,EQ,5830
BALAJITELE,EQ,40.8
BALAMINES,EQ,2244
BALAXI,EQ,555
BALKRISHNA,EQ,29.2
BALKRISIND,EQ,1994.8
BALLARPUR,BZ,0.8
BALMLAWRIE,EQ,113.9
BALPHARMA,EQ,74.35
BALRAMCHIN,EQ,412.55
BANARBEADS,EQ,80.2
BANARISUG,EQ,2808.6
BANCOINDIA,EQ,227.3
BANDHANBNK,EQ,209.8
BANG,EQ,38.9
BANKA,EQ,71
BANKBARODA,EQ,166.3
BANKBEES,EQ,413.1
BANKINDIA,EQ,75.45
BANSWRAS,EQ,132.8
BARBEQUE,EQ,663.55
BASF,EQ,2325
BASML,EQ,40.5
BATAINDIA,EQ,1405
BAYERCROP,EQ,4125
BBETF0432,EQ,1055.71
BBL,EQ,2670
BBOX,EQ,113.55
BBTC,EQ,855
BBTCL,EQ,226.45
BCG,EQ,17.6
BCLIND,EQ,424
BCONCEPTS,EQ,210.3
BCP,EQ,4.1
BDL,EQ,974.1
BEARDSELL,EQ,24.35
BECTORFOOD,EQ,565.95
BEDMUTHA,EQ,58
BEL,EQ,99.9
BEML,EQ,1278
BEPL,EQ,104
BERGEPAINT,EQ,595.7
BESTAGRO,EQ,1087
BETA,SM,683.5
BEWLTD,SM,790
BFINVEST,EQ,440.5
BFUTILITIE,EQ,317
BGLOBAL,BZ,2.9
BGRENERGY,EQ,50
BHAGCHEM,EQ,1279.85
BHAGERIA,EQ,131.2
BHAGYANGR,EQ,46.55
BHANDARI,EQ,4.7
BHARATFORG,EQ,756.65
BHARATGEAR,EQ,116
BHARATRAS,EQ,9516.1
BHARATWIRE,EQ,146
BHARTIARTL,EQ,770
BHEL,EQ,71.3
BIGBLOC,EQ,126
BIKAJI,EQ,353
BIL,EQ,180
BINANIIND,EQ,24.45
BINDALAGRO,EQ,21.1
BIOCON,EQ,215.45
BIOFILCHEM,EQ,43.75
BIRET,RR,276.5
BIRLACABLE,EQ,134
BIRLACORPN,EQ,917.35
