SYMBOL,SERIES,LAST
IIFCL,N4,1285
IIFL,EQ,469
IIFL,N6,1010
IIFL,NE,980
IIFL,NF,997
IIFL,NG,1105
IIFL,NH,1033.99
IIFL,NI,1115.7
IIFL,NJ,1005
IIFL,NL,980
IIFL,NM,1004.99
IIFL,NN,1105
IIFL,NO,966.55
IIFL,NP,970
IIFL,NS,968.5
IIFL,NT,0
IIFLSEC,EQ,53.7
IIHFL,N4,1019
IIHFL,N5,999
IIHFL,N6,1085
IIHFL,NA,941.5
IIHFL,NC,958
IITL,EQ,87
IL&FSENGG,BZ,13.65
IL&FSTRANS,BZ,3.15
IMAGICAA,EQ,44.5
IMC1,N0,251.3
IMC1,N1,257.6
IMC1,N2,257
IMC1,N3,258.3
IMFA,EQ,286
IMPAL,EQ,636.05
IMPEXFERRO,EQ,2.85
INCREDFIN,N3,850
INCREDIBLE,EQ,19.5
INDBANK,EQ,24.85
INDHOTEL,EQ,328.15
INDIACEM,EQ,186.8
INDIAGLYCO,EQ,574.4
INDIAMART,EQ,5047
INDIANB,EQ,283.25
INDIANCARD,EQ,224.95
INDIANHUME,EQ,138
INDIGO,EQ,1904.5
INDIGOPNTS,EQ,1073
INDIGRID,IV,136.05
INDIGRID,ND,991
INDIGRID,NJ,1067.11
INDLMETER,BZ,3.55
INDNIPPON,EQ,345.6
INDOAMIN,EQ,81.3
INDOBORAX,EQ,110.3
INDOCO,EQ,336
INDORAMA,EQ,42.1
INDOSTAR,BE,126.4
INDOTECH,EQ,176.55
INDOTHAI,BE,253.35
INDOWIND,EQ,11.1
INDRAMEDCO,BE,82.5
INDSWFTLAB,EQ,62.6
INDSWFTLTD,EQ,9.6
INDTERRAIN,EQ,49.7
INDUSINDBK,EQ,1070
INDUSTOWER,EQ,142.3
INFIBEAM,EQ,14.2
INFOBEAN,EQ,511
INFOMEDIA,EQ,5.05
INFRABEES,EQ,541.58
INFY,EQ,1427
INGERRAND,EQ,2615.35
INNOVANA,SM,320
INNOVATIVE,ST,2.6
INOXGREEN,EQ,39.4
INOXWIND,EQ,99.45
INSECTICID,EQ,490.5
INSPIRISYS,EQ,48.9
INTELLECT,EQ,433.05
INTENTECH,EQ,64.15
INTLCONV,EQ,52
INVENTURE,EQ,1.9
IOB,EQ,22.7
IOC,EQ,77.85
IOLCP,EQ,332.2
IONEXCHANG,EQ,3348
IPCALAB,EQ,834
IPL,EQ,214.9
IRB,EQ,25.95
IRBINVIT,IV,70.49
IRCON,EQ,57.8
IRCTC,EQ,582.3
IREDA,N4,1021.01
IREDA,N5,1166
IREDA,N6,1344
IREDA,N7,1138
IRFC,EQ,27.55
IRFC,N2,1134
IRFC,N9,1021
IRFC,NA,1142.11
IRFC,NE,1171
IRFC,NI,1068.79
IRFC,NJ,1150
IRFC,NK,1206.5
IRFC,NN,1072.01
IRFC,NO,1160
IRIS,EQ,73.65
IRISDOREME,EQ,333
ISEC,EQ,463.5
ISFT,EQ,149.35
ISGEC,EQ,470.5
ISHAN,SM,21.75
ISMTLTD,EQ,69.55
ITBEES,EQ,30.18
ITC,EQ,388
ITDC,EQ,311
ITDCEM,EQ,110.2
ITI,EQ,91.7
IVC,EQ,6.4
IVP,EQ,131.7
IVZINGOLD,EQ,5379
IVZINNIFTY,EQ,1943.4
IWEL,EQ,1015.15
IZMO,EQ,137.05
J&KBANK,EQ,50.75
JAGRAN,EQ,73.2
JAGSNPHARM,EQ,341
JAIBALAJI,EQ,48.1
JAICORPLTD,EQ,142.45
JAINAM,SM,142
JAIPURKURT,EQ,88.15
JAKHARIA,SM,60
JALAN,SM,7.2
JAMNAAUTO,EQ,100.3
JASH,EQ,825
JAYAGROGN,EQ,163.7
JAYBARMARU,EQ,137.95
JAYNECOIND,EQ,21.7
JAYSREETEA,EQ,82.9
JBCHEPHARM,EQ,2050
JBFIND,BZ,6.7
JBMA,EQ,753.5
JCHAC,EQ,1095
JETAIRWAYS,BZ,63.4
JETFREIGHT,EQ,12.7
JHS,EQ,16.4
JINDALPHOT,EQ,322.8
JINDALPOLY,EQ,576.6
JINDALSAW,EQ,161.25
JINDALSTEL,EQ,549.05
JINDRILL,EQ,281
JINDWORLD,EQ,347.6
JISLDVREQS,EQ,18.4
JISLJALEQS,EQ,36.1
JITFINFRA,BE,91.7
JKCEMENT,EQ,2941.75
JKIL,EQ,250.95
JKLAKSHMI,EQ,809.6
JKPAPER,EQ,378.95
JKTYRE,EQ,162.4
JMA,EQ,62.05
JMFINANCIL,EQ,62.8
JOCIL,EQ,160
JPASSOCIAT,EQ,7.25
JPOLYINVST,EQ,512.65
JPPOWER,EQ,5.65
JSL,EQ,283.3
JSLL,SM,294
JSWENERGY,EQ,249
JSWHL,EQ,3949.95
JSWISPL,EQ,31.2
JSWSTEEL,EQ,689.5
JTEKTINDIA,EQ,102
JTLIND,EQ,337
JUBLFOOD,EQ,425.7
JUBLINDS,EQ,398
JUBLINGREA,EQ,394.6
JUBLPHARMA,EQ,301.9
JUNIORBEES,EQ,406
JUSTDIAL,EQ,614.15
JWL,EQ,102.35
JYOTHYLAB,EQ,195
JYOTISTRUC,BZ,6.2
KABRAEXTRU,EQ,491.9
KAJARIACER,EQ,1108.7
KAKATCEM,EQ,194.05
KALPATPOWR,EQ,518.5
KALYANIFRG,BE,250.05
KALYANKJIL,EQ,104.2
KAMATHOTEL,EQ,138
KAMDHENU,EQ,378.8
KAMOPAINTS,EQ,223.7
KANANIIND,EQ,7.35
KANORICHEM,EQ,121
KANPRPLA,EQ,83.8
KANSAINER,EQ,386
KAPSTON,EQ,137
KARMAENG,BE,35.15
KARURVYSYA,EQ,96.15
KAUSHALYA,EQ,4.4
KAVVERITEL,EQ,5.5
KAYA,EQ,332.95
KAYNES,EQ,942
KBCGLOBAL,BE,2.4
KCP,EQ,102.75
KCPSUGIND,EQ,25.05
KDDL,EQ,1085
KEC,EQ,472.75
KECL,EQ,74.1
KEEPLEARN,BE,3.65
KEERTI,BE,39.8
KEI,EQ,1706
KELLTONTEC,EQ,53.45
KENNAMET,EQ,2125.1
KERNEX,BE,237.4
KESORAMIND,EQ,59.2
KEYFINSERV,EQ,99
KFINTECH,EQ,285.1
KHADIM,EQ,191.7
KHAICHEM,EQ,75.5
KHAITANLTD,EQ,42.2
KHANDSE,EQ,27.15
KHFM,SM,34.7
KICL,EQ,1769
KILITCH,EQ,159.7
KIMS,EQ,1412
KINGFA,EQ,1359.95
KIOCL,EQ,176
KIRIINDUS,EQ,295.1
KIRLFER,EQ,431
KIRLOSBROS,EQ,418
KIRLOSENG,EQ,380.6
KIRLOSIND,EQ,2635
KITEX,EQ,147.6
KKCL,EQ,412.8
KMSUGAR,EQ,28
KNAGRI,SM,121
KNRCON,EQ,252.4
KOHINOOR,EQ,31.15
KOKUYOCMLN,EQ,71.65
KOLTEPATIL,EQ,270
KOPRAN,EQ,125
KORE,SM,194.35
KOTAKALPHA,EQ,25.3
KOTAKBANK,EQ,1757.3
KOTAKBKETF,EQ,414.49
KOTAKCONS,EQ,72.52
KOTAKGOLD,EQ,51.43
KOTAKIT,EQ,30.04
KOTAKLIQ,EQ,999.99
KOTAKLOVOL,EQ,13.08
KOTAKMID50,EQ,86.69
KOTAKMNC,EQ,19.14
KOTAKNIFTY,EQ,188.2
KOTAKNV20,EQ,102.6
KOTAKPSUBK,EQ,367.79
KOTAKSILVE,EQ,73.98
KOTARISUG,EQ,38.7
KOTHARIPET,EQ,60.4
KOTHARIPRO,EQ,114.85
KOTYARK,SM,415
KOVAI,EQ,1900
KPIGREEN,EQ,436
KPITTECH,EQ,799.95
KPRMILL,EQ,581.8
KRBL,EQ,343.8
KREBSBIO,EQ,85.8
KRIDHANINF,EQ,3.3
KRISHANA,EQ,484.95
KRISHIVAL,SM,270
KRISHNADEF,SM,139
KRITI,EQ,105.2
KRITIKA,EQ,13.35
KRITINUT,EQ,42
KRSNAA,EQ,503.1
KSB,EQ,2197.75
KSCL,EQ,485.45
KSHITIJPOL,EQ,17.3
KSL,EQ,311.8
KSOLVES,EQ,523
KTKBANK,EQ,129.2
KUANTUM,EQ,140.65
L&TFH,EQ,87.4
L&TFINANCE,NC,1021
L&TFINANCE,NE,1005.99
L&TFINANCE,NG,1090
L&TFINANCE,NI,1100
L&TFINANCE,NO,1007
L&TFINANCE,NQ,1004
L&TFINANCE,NS,1410
L&TFINANCE,NU,1036.05
L&TFINANCE,Y7,1004.1
L&TFINANCE,Y9,1048
LAGNAM,EQ,54.7
LAKPRE,BZ,4.25
LAL,EQ,121
LALPATHLAB,EQ,1849.5
LAMBODHARA,EQ,172.25
LANCER,EQ,165
LANDMARK,EQ,542.5
LAOPALA,EQ,369.45
LASA,EQ,22.4
LATENTVIEW,EQ,342.9
LATTEYS,SM,26
LAURUSLABS,EQ,304.45
LAXMICOT,EQ,19.05
LAXMIMACH,EQ,10600
LCCINFOTEC,EQ,1.85
LEMERITE,SM,46.75
LEMONTREE,EQ,76.4
LEXUS,EQ,68.65
LFIC,EQ,109.1
LGBBROSLTD,EQ,813.6
LGBFORGE,EQ,8.7
LIBAS,EQ,11.15
LIBERTSHOE,EQ,217.85
LICHSGFIN,EQ,333.6
LICI,EQ,549.9
LICNETFGSC,EQ,23.3
LICNETFN50,EQ,190.25
LICNETFSEN,EQ,652
LICNFNHGP,EQ,185
LIKHITHA,EQ,251.75
LINC,EQ,577
LINCOLN,EQ,373
LINDEINDIA,EQ,4200
LIQUIDBEES,EQ,999.99
LIQUIDETF,EQ,999.99
LLOYDS,SM,43
LODHA,EQ,940
LOKESHMACH,EQ,120
LOTUSEYE,EQ,61.6
LOVABLE,EQ,95.95
LOYALTEX,EQ,617
LPDC,EQ,6.2
LRRPL,SM,39
LSIL,EQ,18.85
LT,EQ,2310
LTGILTBEES,EQ,23.65
LTIM,EQ,4785.7
LTTS,EQ,3576
LUMAXIND,EQ,1925
LUMAXTECH,EQ,276
LUPIN,EQ,663.2
LUXIND,EQ,1219.5
LXCHEM,EQ,255.7
LYKALABS,EQ,110.65
LYPSAGEMS,EQ,4.3
M&M,EQ,1189
M&MFIN,EQ,250.55
M&MFIN,N2,1095
MAANALU,EQ,185.25
MACPOWER,EQ,291.6
MADHAV,EQ,42.15
MADHAVBAUG,SM,244
MADHUCON,EQ,4
MADRASFERT,EQ,59.7
MAESGETF,EQ,28.65
MAFANG,EQ,49.1
MAFSETF,EQ,18.53
MAGADSUGAR,EQ,336.05
MAGNUM,EQ,30.7
MAGOLDETF,EQ,59.6
MAGS813ETF,EQ,24.2
MAHABANK,EQ,26.1
MAHAPEXLTD,EQ,88.7
MAHASTEEL,EQ,57.4
MAHEPC,EQ,90.6
MAHESHWARI,EQ,87.95
MAHINDCIE,EQ,370.5
MAHKTECH,EQ,14.85
MAHLIFE,EQ,368.9
MAHLOG,EQ,383.1
MAHSCOOTER,EQ,4370.05
MAHSEAMLES,EQ,380.35
MAITHANALL,EQ,847.15
MALLCOM,EQ,797
MALUPAPER,EQ,28.8
MAM150ETF,EQ,11.6
MAMFGETF,EQ,81.25
MAN50ETF,EQ,184.35
MANAKALUCO,EQ,21.25
MANAKCOAT,EQ,15.5
MANAKSIA,EQ,120
MANAKSTEEL,EQ,36.3
MANALIPETC,EQ,68.7
MANAPPURAM,EQ,127.95
MANGALAM,EQ,113.7
MANGCHEFER,EQ,103.85
MANGLMCEM,EQ,265.1
MANINDS,EQ,92.6
MANINFRA,EQ,75.9
MANOMAY,EQ,129
MANORAMA,EQ,1055.15
MANORG,EQ,353
MANUGRAPH,EQ,16.2
MANV30F,EQ,131.95
MANXT50,EQ,385.73
MANYAVAR,EQ,1135
MAPMYINDIA,EQ,999.9
MARALOVER,EQ,54
MARATHON,EQ,308
MARICO,EQ,480
MARINE,EQ,36.85
MARKSANS,EQ,72.25
MARSHALL,BE,55.45
MARUTI,EQ,8534
MASFIN,EQ,739.7
MASKINVEST,BE,52.25
MASPTOP50,EQ,28.52
MASTEK,EQ,1565
MATRIMONY,EQ,531.35
MAWANASUG,EQ,89.75
MAXHEALTH,EQ,441.45
MAXIND,EQ,81.9
MAXVIL,EQ,155.25
MAYURUNIQ,EQ,437
MAZDA,EQ,637
MAZDOCK,EQ,686.1
MBAPL,EQ,586.1
MBECL,BE,3.8
MBLINFRA,EQ,16.7
MCDOWELL-N,EQ,748
MCL,EQ,26.75
MCLEODRUSS,BE,18.15
MCON,SM,88.9
MCX,EQ,1514
MEDANTA,EQ,491.7
MEDICAMEQ,EQ,705
MEDICO,EQ,84.4
MEDPLUS,EQ,673
MEGAFLEX,SM,34
MEGASOFT,EQ,27.7
MEGASTAR,EQ,228.2
MELSTAR,BZ,2.25
MENONBE,EQ,103.15
MEP,EQ,13.35
METALFORGE,BZ,2.8
METROBRAND,EQ,810
METROPOLIS,EQ,1249.9
MFL,EQ,965
MFSL,EQ,629
MGEL,EQ,17.5
MGL,EQ,991.85
MHLXMIRU,EQ,286
MHRIL,EQ,275.25
MICEL,EQ,12.6
MID150BEES,EQ,117.89
MIDHANI,EQ,186
MILTON,SM,23.15
MINDACORP,EQ,255.1
MINDSPACE,RR,318.51
MINDTECK,EQ,115
MIRCELECTR,EQ,13.15
MIRZAINT,BE,32.7
MITCON,EQ,66
MITTAL,EQ,10.5
MKPL,SM,751.3
MMFL,EQ,835.95
MMP,EQ,139.5
MMTC,EQ,29.8
MODIRUBBER,BE,60
MODISONLTD,EQ,56
MOGSEC,EQ,51.55
MOHEALTH,EQ,22.49
MOHITIND,EQ,13.6
MOHOTAIND,BZ,4.3
MOIL,EQ,147.75
MOKSH,EQ,9.75
MOL,EQ,89.8
MOLDTECH,EQ,277.8
MOLDTKPAC,EQ,959
MOLOWVOL,EQ,25.06
MOM100,EQ,32.21
MOM50,EQ,177.86
MOMENTUM,EQ,18.54
MOMOMENTUM,EQ,36.96
MON100,EQ,103.6
MONARCH,EQ,207.5
MONQ50,EQ,53
MONTECARLO,EQ,658.5
MOQUALITY,EQ,117.07
MORARJEE,EQ,19.25
MOREPENLAB,EQ,26.8
MOTHERSON,EQ,67.8
MOTILALOFS,EQ,639.95
MOTOGENFIN,BE,33
MOVALUE,EQ,48.73
MOXSH,SM,84
MPHASIS,EQ,1815.05
MPSLTD,EQ,906.95
MRF,EQ,84537.25
MRO-TEK,EQ,58.6
MRPL,EQ,54.2
MSPL,EQ,9.25
MSTCLTD,EQ,267.95
MSUMI,EQ,49.75
MTARTECH,EQ,1646.15
MTEDUCARE,BE,4.1
MTNL,EQ,18.8
MUKANDLTD,EQ,138.65
MUKTAARTS,EQ,50.25
MUNJALAU,EQ,41.4
MUNJALSHOW,EQ,91.4
MURUDCERA,EQ,34.65
MUTHOOTCAP,EQ,275
MUTHOOTFIN,EQ,1022.45
MWL,SM,110.5
NABARD,N1,1145
NABARD,N2,1125
NACLIND,EQ,84
NAGAFERT,EQ,11.1
NAGREEKCAP,EQ,21.8
NAGREEKEXP,EQ,32.1
NAHARCAP,EQ,269.1
NAHARINDUS,EQ,99.5
NAHARPOLY,EQ,242
NAHARSPING,EQ,273.8
NAM-INDIA,EQ,215.3
NARMADA,EQ,21.3
NATCOPHARM,EQ,590.85
NATHBIOGEN,EQ,153.05
NATIONALUM,EQ,80.2
NATNLSTEEL,BE,3.85
NAUKRI,EQ,3715
NAVA,EQ,231.6
NAVIFIN,N1,991
NAVINFLUOR,EQ,4265.1
NAVKARCORP,EQ,55.7
NAVNETEDUL,EQ,102.1
NAZARA,EQ,540.35
NBCC,EQ,37.25
NBIFIN,EQ,1471.05
NCC,EQ,107.6
NCLIND,EQ,180.1
NDGL,EQ,1333.7
NDL,EQ,25.4
NDRAUTO,EQ,590
NDTV,EQ,194.7
NECCLTD,EQ,18.65
NECLIFE,EQ,17.05
NELCAST,EQ,96.25
NELCO,EQ,561.45
NEOGEN,EQ,1409.05
NESCO,EQ,541
NESTLEIND,EQ,19600
NETF,EQ,184.21
NETWORK18,EQ,56.15
NEULANDLAB,EQ,2119
NEWGEN,EQ,444.9
NEXTMEDIA,EQ,4.65
NFL,EQ,76
NGIL,EQ,55.4
NGLFINE,EQ,1370
NH,EQ,769
NHAI,N2,1139
NHAI,N4,1029
NHAI,N6,1164.9
NHAI,N8,1052.75
NHAI,NA,1125
NHAI,NC,1079.99
NHAI,ND,1160
NHAI,NE,1160
NHBTF2014,N6,6600
NHBTF2023,N6,5831
NHIT,N1,305
NHIT,N2,305
NHIT,N3,409.99
NHPC,EQ,40
NHPC,N6,1299
NIACL,EQ,102.2
NIBL,EQ,18.1
NIDAN,SM,38.75
NIF100BEES,EQ,181.23
NIFTYBEES,EQ,192.57
NIFTYQLITY,EQ,14.35
NIITLTD,EQ,360
NILAINFRA,EQ,5.2
NILASPACES,EQ,2.9
NILKAMAL,EQ,1891
NINSYS,EQ,316.6
NIPPOBATRY,EQ,335.95
NIRAJ,EQ,30.3
NIRMAN,ST,74.75
NITCO,EQ,19.75
NITINSPIN,EQ,258
NITIRAJ,EQ,72.2
NKIND,EQ,39
NLCINDIA,EQ,76.8
NMDC,EQ,110.9
NOCIL,EQ,210
NOIDATOLL,EQ,6.9
NORBTEAEXP,EQ,8.25
NOVARTIND,EQ,600.25
NPBET,EQ,210
NPST,SM,564
NRAIL,EQ,224.9
NRBBEARING,EQ,137.55
NRL,EQ,116.05
NSIL,EQ,2142
NSLNISP,EQ,32.5
NTPC,EQ,177.65
NTPC,N4,1037.55
NTPC,N7,10.23
NTPC,NA,1250
NTPC,ND,1220
NUCLEUS,EQ,659.95
NURECA,EQ,332.5
NUVOCO,EQ,338
NV20BEES,EQ,104.75
NXTDIGITAL,EQ,114.9
NYKAA,EQ,129.1
OAL,EQ,348
OBCL,EQ,52.5
OBEROIRLTY,EQ,908.6
OCCL,EQ,698.25
OFSS,EQ,3305
OIL,EQ,258.05
OILCOUNTUB,EQ,15.25
OLECTRA,EQ,659
OMAXAUTO,EQ,38.4
OMAXE,EQ,53.9
OMINFRAL,EQ,36.35
OMKARCHEM,BZ,8.3
ONELIFECAP,EQ,13.7
ONEPOINT,EQ,18.85
ONGC,EQ,156.6
ONMOBILE,EQ,65.2
ONWARDTEC,EQ,335
OPTIEMUS,EQ,201
ORBTEXP,EQ,128
ORCHPHARMA,BE,394.5
ORICONENT,EQ,19.3
ORIENTABRA,EQ,25.2
ORIENTALTL,EQ,6.4
ORIENTBELL,EQ,529.5
ORIENTCEM,EQ,118.05
ORIENTELEC,EQ,228.3
ORIENTHOT,EQ,81.95
ORIENTLTD,EQ,57.75
ORIENTPPR,EQ,38.2
ORISSAMINE,EQ,2487
ORTEL,BZ,1
ORTINLAB,EQ,19.45
OSIAHYPER,EQ,34.8
OSWALAGRO,EQ,28.25
OSWALSEEDS,EQ,358
PAGEIND,EQ,36678
PAISALO,EQ,54.95
PALASHSECU,EQ,101.15
PALREDTEC,EQ,133.7
PANACEABIO,EQ,116
PANACHE,BE,64.45
PANAMAPET,EQ,298
PANSARI,EQ,80.5
PAR,EQ,140
PARACABLES,EQ,34.35
PARADEEP,EQ,52.9
PARAGMILK,EQ,82.7
PARAS,EQ,489.7
PARASPETRO,BE,0.95
PARSVNATH,EQ,7
PARTYCRUS,SM,107.25
PASUPTAC,EQ,28.75
PATANJALI,BE,956
PATELENG,EQ,15
PATINTLOG,EQ,12
PAYTM,EQ,659
PCBL,EQ,113.65
PCHFL,N2,1045
PCHFL,N6,1040
PCHFL,N8,1030
PCJEWELLER,EQ,27.05
PDMJEPAPER,EQ,39.4
PDSL,EQ,352
PEARLPOLY,EQ,20.05
PEL,EQ,702
PENIND,EQ,78.3
PENINLAND,EQ,14.7
PERFECT,SM,25.65
PERSISTENT,EQ,4568
PETRONET,EQ,228.2
PFC,EQ,166.65
PFC,N3,1220
PFC,N5,1133
PFC,N6,1036.15
PFC,N8,1302
PFIZER,EQ,3613
PFOCUS,EQ,89.8
PFS,EQ,14.25
PGEL,EQ,1438
PGHH,EQ,14050
PGHL,EQ,4938
PGIL,EQ,413
PGINVIT,IV,123.13
PHANTOMFX,SM,184.45
PHARMABEES,EQ,12.45
PHOENIXLTD,EQ,1288
PIDILITIND,EQ,2359
PIGL,SM,65.95
PIIND,EQ,3030.25
PILANIINVS,EQ,1716
PILITA,EQ,6.8
PIONEEREMB,EQ,32.15
PITTIENG,EQ,293
PIXTRANS,EQ,812
PKTEA,BE,300
PLASTIBLEN,EQ,163.05
PNB,EQ,47
PNBGILTS,EQ,59.3
PNBHOUSING,EQ,449.6
PNC,EQ,33.8
PNCINFRA,EQ,291.5
POCL,EQ,334.6
PODDARHOUS,EQ,98.55
PODDARMENT,EQ,271.05
POKARNA,EQ,273.95
POLICYBZR,EQ,589.9
POLYCAB,EQ,2981.65
POLYMED,EQ,944
POLYPLEX,EQ,1267.6
PONNIERODE,EQ,468.35
POONAWALLA,EQ,286.55
POWERGRID,EQ,228.9
POWERINDIA,EQ,3160.2
POWERMECH,EQ,2483.2
PPAP,EQ,185.5
PPL,EQ,147.8
PPLPHARMA,EQ,69.9
PRAENG,EQ,12.5
PRAJIND,EQ,342.05
PRAKASH,EQ,52.4
PRAKASHSTL,EQ,4.2
PRAXIS,EQ,19
PRECAM,EQ,104.25
PRECOT,EQ,198.9
PRECWIRE,EQ,70.2
PREMEXPLN,EQ,413
PREMIER,BE,2.3
PREMIERPOL,EQ,82.5
PRESSMN,EQ,71
PRESTIGE,EQ,448
PRICOLLTD,EQ,228.75
PRIMESECU,EQ,112
PRINCEPIPE,EQ,563
PRITI,EQ,151
PRITIKA,SM,27.1
PRITIKAUTO,EQ,15.85
PRIVISCL,EQ,1092
PROPEQUITY,SM,156
PROZONINTU,EQ,23.75
PRSMJOHNSN,EQ,110
PRUDENT,EQ,817
PSB,EQ,26.1
PSPPROJECT,EQ,678.5
PSUBANKICI,EQ,37.2
PSUBNKBEES,EQ,41.16
PTC,EQ,93.05
PTL,EQ,31.15
PUNJABCHEM,EQ,830.25
PURVA,EQ,75.75
PVP,EQ,8.9
PVR,EQ,1550
QFIL,ST,101.2
QGOLDHALF,EQ,51.17
QMSMEDI,SM,140
QNIFTY,EQ,1868
QUADPRO,SM,5
QUESS,EQ,373.6
QUICKHEAL,EQ,145.9
QUINTEGRA,BE,0.9
RADHIKAJWE,EQ,151.2
RADIANTCMS,EQ,93.6
RADICO,EQ,1114.85
RADIOCITY,EQ,11.45
RAILTEL,EQ,104.7
RAIN,EQ,154.6
RAINBOW,EQ,738.95
RAJESHEXPO,EQ,619.95
RAJMET,EQ,13.1
RAJRATAN,EQ,768.95
RAJRILTD,BE,59
RAJSREESUG,EQ,41.5
RAJTV,EQ,44.55
RAJVIR,BZ,5.25
RALLIS,EQ,204.5
RAMANEWS,EQ,12.05
RAMAPHO,EQ,230.5
RAMASTEEL,EQ,31.15
RAMCOCEM,EQ,757.5
RAMCOIND,EQ,131.8
RAMCOSYS,EQ,224.8
RAMKY,EQ,324
RAMRAT,EQ,194.95
RANASUG,EQ,23
RANEENGINE,EQ,216.8
RANEHOLDIN,EQ,876.1
RATEGAIN,EQ,350
RATNAMANI,EQ,2061
RAYMOND,EQ,1289.4
RBA,EQ,94.2
RBL,EQ,677.95
RBLBANK,EQ,143.8
RBMINFRA,SM,63.6
RCF,EQ,99.95
RCOM,BE,1.45
RECLTD,EQ,124.2
RECLTD,N2,1093.05
RECLTD,N4,1094
RECLTD,N8,1039.55
RECLTD,N9,1172
RECLTD,NF,1210
RECLTD,NH,1200
RECLTD,NI,1150.1
REDINGTON,EQ,175.1
REFEX,EQ,288.85
REGENCERAM,BE,22.85
RELAXO,EQ,823.5
RELCAPITAL,BE,9.45
RELCHEMQ,EQ,184.05
RELIANCE,EQ,2324.05
RELIGARE,EQ,148.95
RELINFRA,EQ,146.9
REMSONSIND,EQ,225.1
RENUKA,EQ,45.45
REPCOHOME,EQ,189.5
REPL,EQ,160.05
REPRO,EQ,376.05
RESPONIND,EQ,129.4
REVATHI,EQ,1340
RGL,EQ,84.65
RHFL,EQ,3.45
RHIM,EQ,612.7
RICOAUTO,EQ,71.3
RIIL,EQ,812.25
RITCO,EQ,164.5
RITES,EQ,350
RITEZONE,SM,72
RKDL,EQ,14.85
RKEC,EQ,53.8
RKFORGE,EQ,307
RMCL,BZ,1.4
RMDRIP,SM,54.85
RML,EQ,423.5
RNAVAL,BZ,1.85
ROHLTD,EQ,259
ROLEXRINGS,EQ,1955
ROLLT,EQ,1.1
ROLTA,BZ,1.85
ROML,EQ,38.35
ROSSARI,EQ,745.9
ROSSELLIND,EQ,263.5
ROTO,EQ,579.3
ROUTE,EQ,1262.95
RPGLIFE,EQ,737
RPOWER,EQ,10.9
RPPINFRA,EQ,42.3
RPPL,EQ,156.1
RPSGVENT,EQ,394
RSSOFTWARE,EQ,25.65
RSWM,EQ,167.9
RSYSTEMS,EQ,256.55
RTNINDIA,EQ,38.6
RTNPOWER,EQ,3.3
RUBYMILLS,EQ,184.45
RUCHINFRA,BE,8.4
RUCHIRA,EQ,102.1
RUPA,EQ,224.3
RUSHIL,EQ,278.6
RUSTOMJEE,EQ,442
RVHL,EQ,21.65
RVNL,EQ,74.2
SABAR,SM,13.5
SABTN,BE,1.6
SADBHAV,EQ,10.4
SADBHIN,EQ,3.6
SAFARI,EQ,2113.85
SAGARDEEP,EQ,22.7
SAGCEM,EQ,185.1
SAH,EQ,75
SAHYADRI,EQ,373
SAIL,EQ,82.5
SAKAR,EQ,221.8
SAKHTISUG,EQ,21.7
SAKSOFT,EQ,161
SAKUMA,EQ,10.85
SALASAR,EQ,40.6
SALONA,EQ,240
SALSTEEL,EQ,15.25
SALZERELEC,EQ,295.15
SAMBHAAV,EQ,3.05
SANCO,BZ,7.55
SANDESH,EQ,915.2
SANDHAR,EQ,203.55
SANGAMIND,EQ,243
SANGHIIND,EQ,68
SANGHVIMOV,EQ,361.8
SANGINITA,EQ,19.6
SANOFI,EQ,5989.9
SANSERA,EQ,734
SANWARIA,BZ,0.6
SAPPHIRE,EQ,1192.2
SARDAEN,EQ,1109.05
SAREGAMA,EQ,328.9
SARLAPOLY,EQ,37.4
SARVESHWAR,EQ,79.35
SASKEN,EQ,824.2
SASTASUNDR,EQ,243
SATIA,EQ,112.9
SATIN,EQ,140.25
SATINDLTD,EQ,65.75
SBC,EQ,18.3
SBCL,EQ,515.45
SBGLP,EQ,193.7
SBICARD,EQ,739.6
SBIETFCON,EQ,73.25
SBIETFIT,EQ,302
SBIETFPB,EQ,207.9
SBIETFQLTY,EQ,150.23
SBILIFE,EQ,1106
SBIN,EQ,525.7
SCAPDVR,EQ,16.65
SCHAEFFLER,EQ,3098
SCHAND,EQ,218.7
SCHNEIDER,EQ,162.6
SCI,BE,80.5
SCPL,EQ,668.7
SDBL,EQ,148.05
SDL24BEES,EQ,112.42
SDL26BEES,EQ,112.44
SEAMECLTD,EQ,615.9
SECURCRED,EQ,23.25
SECURKLOUD,EQ,34.95
SELAN,EQ,263.55
SELMC,BE,154.55
SEPC,EQ,11
SEPC-RE,BE,0.85
SEPOWER,EQ,14.15
SEQUENT,EQ,73.05
SERVOTECH,BE,43.65
SESHAPAPER,EQ,245.6
SETCO,EQ,6.95
SETF10GILT,EQ,211.79
SETFGOLD,EQ,52.76
SETFNIF50,EQ,182.37
SETFNIFBK,EQ,409.51
SETFNN50,EQ,401.1
SETUINFRA,BE,1.05
SEYAIND,BE,17.7
SFL,EQ,1061.1
SGBAPR28I,GB,5659
SGBAUG24,GB,5965
SGBAUG27,GB,5710
SGBAUG28V,GB,5699.99
SGBAUG29V,GB,5562
SGBAUG30,GB,5580.1
SGBD29VIII,GB,5577
SGBDC27VII,GB,5665
SGBDE30III,GB,5660
SGBDEC25,GB,5922
SGBDEC2513,GB,5880.01
SGBDEC25XI,GB,5900.01
SGBFEB24,GB,5950.5
